screen_name,text,source,retweet_count,hashtags,mentions_screen_name,searchTerm,disease,Preprocesstext,Sentiment
HumanPathology,"RT @lollydaggle: I modified that Price Changes graph to include insulin. #Insulin4All 

The same Humalog we used in 1997 is the same Humalog…",Twitter for iPad,621,Insulin4All,lollydaggle,Humalog,Diabetes,modified that price changes graph to include insulin insulin all the same humalog we used in is the same humalog,neutral
LilypupTheChigi,RT @mollyjoh_T1D: Just dropped this vial of Humalog on the hardwood kitchen floor and it DIDN’T break. Thank goodness! Can’t use it until t…,Twitter for iPhone,1,,mollyjoh_T1D,Humalog,Diabetes,just dropped this vial of humalog on the hardwood kitchen floor and it didn break thank goodness can use it until,neutral
tharon_pleiades,RT @CBenningtonJMMA: @abtugrad112015 @RealJamesWoods I am one of the millions who lost great HC because of #Obamacare My premiums were $168…,Twitter Lite,8,Obamacare,CBenningtonJMMA abtugrad112015 RealJamesWoods,Humalog,Diabetes,am one of the millions who lost great hc because of obamacare my premiums were,positive
mada_moiselle,"WHY DOES #HUMALOG NOT OFFER A SAVINGS CARD/PROGRAM. 

WHY DOES INSULIN COST SO MUCH. WHY DID MY INS TAKE #NOVO OFF THE FORMULARY. 

WHY DO PRIORAUTHS TAKE SO LONG. 

#t1d #rant",Twitter for iPhone,0,HUMALOG NOVO t1d rant,,Humalog,Diabetes,why does humalog not offer savings card program why does insulin cost so much why did my ins take novo off the formulary why do priorauths take so long rant,positive
OpenAPS,"RT @mwilliams: Huzzah! Ready or not #OpenAPS, Fiasp in hand! Will get a fresh sensor warmed up today and hit the ground the running! Anxio…",OpenAPS RT,1,OpenAPS,mwilliams,Humalog,Diabetes,huzzah ready or not openaps fiasp in hand will get fresh sensor warmed up today and hit the ground the running anxio,positive
mwilliams,"Huzzah! Ready or not #OpenAPS, Fiasp in hand! Will get a fresh sensor warmed up today and hit the ground the running! Anxious to compare to humalog! https://t.co/tZRvSqiEQU",Tweetbot for i<U+039F>S,1,OpenAPS,,Humalog,Diabetes,huzzah ready or not openaps fiasp in hand will get fresh sensor warmed up today and hit the ground the running anxious to compare to humalog,positive
MelindaMWedding,@C_Garthwaite @Kidfears99 How long do we pay an innovation premium on any given product? 22-year old Humalog keeps increasing in price. Why should Lilly get to use regular increases for “innovation?�?,Twitter for iPhone,0,,C_Garthwaite Kidfears99,Humalog,Diabetes,how long do we pay an innovation premium on any given product year old humalog keeps increasing in price why should lilly get to use regular increases for innovation,positive
cateash,@ReecesPiecesDi @mandy_reece Temp basals! I have also been known to double up humalog with novolin (per endo’s rec) to combat high numbers for prolonged steroid doses.,Twitter for iPhone,0,,ReecesPiecesDi mandy_reece,Humalog,Diabetes,temp basals have also been known to double up humalog with novolin per endo rec to combat high numbers for prolonged steroid doses,positive
mollyjoh_T1D,"Just dropped this vial of Humalog on the hardwood kitchen floor and it DIDN’T break. Thank goodness! Can’t use it until the bubbles go away, but at least I have another vial I can use. Which should be the case for all people with diabetes...#Insulin4All https://t.co/oszMQLUmIV",Twitter for iPhone,1,Insulin4All,,Humalog,Diabetes,just dropped this vial of humalog on the hardwood kitchen floor and it didn break thank goodness can use it until the bubbles go away but at least have another vial can use which should be the case for all people with diabetes insulin all,negative
NoSmallVoice,"RT @DiabetesMine: This first ""copycat"" version of Humalog has been FDA approved for adults with type 2, and anyone 3 years or older with ty…",Twitter for iPhone,4,,DiabetesMine,Humalog,Diabetes,this first copycat version of humalog has been fda approved for adults with type and anyone years or older with ty,positive
pti_nps,"The first follow-on #insulin #lispro product, #Admelog® (insulin lispro), is now available. It is considered to be highly similar to the mealtime insulin #Humalog® (insulin lispro) and has a lower cost. Details: https://t.co/zqReTjY86o. #diabetes #type1diabetes #type2diabetes",Hootsuite,1,insulin lispro Admelog Humalog diabetes type1diabetes type2diabetes,,Humalog,Diabetes,the first follow on insulin lispro product admelog insulin lispro is now available it is considered to be highly similar to the mealtime insulin humalog insulin lispro and has lower cost details diabetes type diabetes type diabetes,positive
jszesq,"Well...I just got a wonderful birthday present...refilled my prescription for Levemir, Victoza, and Humalog for the first time this year. Thankfully I only have to do this once a year the COPAY was $3,700!",Facebook,0,,,Humalog,Diabetes,well just got wonderful birthday present refilled my prescription for levemir victoza and humalog for the first time this year thankfully only have to do this once year the copay was,positive
robingsmith,RT @GoodRx: A big reason why insulin is so expensive is because there are no generics available. Here's how you can save on brands like Hum…,Twitter Web Client,1,,GoodRx,Humalog,Diabetes,big reason why insulin is so expensive is because there are no generics available here how you can save on brands like hum,negative
GoodRx,A big reason why insulin is so expensive is because there are no generics available. Here's how you can save on brands like Humalog. #SaveOnMedsWeek @consumerreports https://t.co/6utchbfkGY,Sprout Social,1,SaveOnMedsWeek,ConsumerReports,Humalog,Diabetes,big reason why insulin is so expensive is because there are no generics available here how you can save on brands like humalog saveonmedsweek,negative
lollydaggle,Along that line... I wonder why someone in the business of investing in diabetes companies @diabetic_invstr would contribute to fear on over-the-counter insulin as list Humalog was $237 in 2015? <f0><U+009F><U+00A4><U+0094>,Twitter Web Client,0,,diabetic_invstr,Humalog,Diabetes,along that line wonder why someone in the business of investing in diabetes companies would contribute to fear on over the counter insulin as list humalog was in,neutral
joforrestpr,@CountCarbula I’d not heard of Fiasp. Thanks for opening my eyes. I use Humalog which I find slow to act and there is no way Lantus lasts 24 hours. Conversation with GP needed here...,Twitter for iPhone,0,,CountCarbula,Humalog,Diabetes,not heard of fiasp thanks for opening my eyes use humalog which find slow to act and there is no way lantus lasts hours conversation with gp needed here,negative
solomonmissouri,My chocolatey thighs exposed with 12 units of humalog insulin being injected into them,Twitter for Android,0,,,Humalog,Diabetes,my chocolatey thighs exposed with units of humalog insulin being injected into them,neutral
wendyssanders,"RT @DiabetesMine: As a copy of Humalog, Admelog has a similar curve of action. 

https://t.co/8S3e8rmiYH #dblog #doc #diabetes -Rk https://…",Twitter for iPhone,1,dblog doc diabetes,DiabetesMine,Humalog,Diabetes,as copy of humalog admelog has similar curve of action dblog doc diabetes rk https,positive
DiabeticBarista,"@robkmn Even Humalog, which is a faster acting insulin, is now 20+ years old. I do agree insulin should/could be more affordable, &amp; most definitely accessible. Not a single person should die from the lack of it in the U.S.A., with all the stupid waste",Twitter Web Client,0,,robkmn,Humalog,Diabetes,even humalog which is faster acting insulin is now years old do agree insulin should could be more affordable amp most definitely accessible not single person should die from the lack of it in the with all the stupid waste,positive
DiabetesMine,"As a copy of Humalog, Admelog has a similar curve of action. 

https://t.co/8S3e8rmiYH #dblog #doc #diabetes -Rk https://t.co/pxCSyeguWD",TweetDeck,1,dblog doc diabetes,,Humalog,Diabetes,as copy of humalog admelog has similar curve of action dblog doc diabetes rk,positive
Kitch2202,RT @t1pippop: @Tims_Pants @betabetic @ipump1 @drpratikc @OceanTragic Or idiot with Diabetes spends 4 days with Lantus in short acting pen i…,Twitter for iPhone,1,,t1pippop Tims_Pants betabetic ipump1 drpratikc OceanTragic,Humalog,Diabetes,pippop or idiot with diabetes spends days with lantus in short acting pen,negative
t1pippop,"@Tims_Pants @betabetic @ipump1 @drpratikc @OceanTragic Or idiot with Diabetes spends 4 days with Lantus in short acting pen instead of humalog #oops 

same idiot also forgets to prep pump tubing before insertion #oops 

Idiot has #t1d for 30 years #mistak",Twitter for iPhone,1,oops oops t1d mistakes,Tims_Pants betabetic ipump1 drpratikc OceanTragic,Humalog,Diabetes,or idiot with diabetes spends days with lantus in short acting pen instead of humalog oops same idiot also forgets to prep pump tubing before insertion oops idiot has for years mistak,negative
tisshe,"@Shnoune Yeah, I've read about it and it sounds like it might be better than Humalog. I might ask if I can try it out.",Twitter Web Client,0,,Shnoune,Humalog,Diabetes,yeah ve read about it and it sounds like it might be better than humalog might ask if can try it out,positive
paradisenl,@tisshe I've only used Humalog but find it works well.,Twitter for iPhone,0,,tisshe,Humalog,Diabetes,ve only used humalog but find it works well,neutral
tisshe,"#T1D friends, what bolus do you use and how do you like it? Have you tried a few before you found what works for you? I feel like Humalog is not working as well for me as it used to, and am thinking about asking my Dr. if I can try something different. Recommendations?",Twitter Web Client,0,T1D,,Humalog,Diabetes,friends what bolus do you use and how do you like it have you tried few before you found what works for you feel like humalog is not working as well for me as it used to and am thinking about asking my dr if can try something different recommendations,negative
dacy_essex,@t1_developer @SteezJose So they are $25 a vial and humalog is ~$1000 a vial? Why is one 4000% more expensive? This baffles me. Particularly when everything I need is free,Twitter for iPhone,0,,t1_developer SteezJose,Humalog,Diabetes,developer so they are vial and humalog is vial why is one more expensive this baffles me particularly when everything need is free,positive
SealamReddy,"Victioza Tresiba Humalog etc. don’t matter. Spend time with your God of whatever faith you have. Don’t drink don’t eat sugar products. Rest, leave it to mighty God! not your children or grandchildren. They may have other motives https://t.co/cXRToTeTsb https://t.co/UlBxmQrB6h",Facebook,0,,,Humalog,Diabetes,victioza tresiba humalog etc don matter spend time with your god of whatever faith you have don drink don eat sugar products rest leave it to mighty god not your children or grandchildren they may have other motives,positive
DiabeticGirls,@jhulbertt Pump with humalog,Twitter for iPhone,0,,jhulbertt,Humalog,Diabetes,pump with humalog,neutral
GilmerHealthLaw,@StressedDiabet Thanks! Definitely a stark difference! And honestly this is only a smidge less than Humalog in the first place. It's ridiculous.,Twitter Web Client,0,,StressedDiabet,Humalog,Diabetes,thanks definitely stark difference and honestly this is only smidge less than humalog in the first place it ridiculous,positive
hwitteman,@Kidfears99 @lollydaggle P.S. Feel free to put a screenshot of these prices on a poster. Exact same insulin for less than a tenth the price. These are in Canadian dollars. CAD$33 = USD$26: https://t.co/ccHwTJz0oZ,Twitter Web Client,0,,Kidfears99 lollydaggle,Humalog,Diabetes,feel free to put screenshot of these prices on poster exact same insulin for less than tenth the price these are in canadian dollars cad usd,positive
MelanieLybarger,"RT @chickiepilot: A biosimilar meal time insulin with a launch list price of $233/vial versus Humalog’s $275/vial. Back to transparency, is…",Twitter for iPhone,6,,chickiepilot,Humalog,Diabetes,biosimilar meal time insulin with launch list price of vial versus humalog vial back to transparency is,neutral
chickiepilot,"A biosimilar meal time insulin with a launch list price of $233/vial versus Humalog’s $275/vial. Back to transparency, is it really costing Sanofi that much to make 1 vial of insulin? Will it be coverered under my ins plan instead of Humalog? #questions #transparency #insulin4all https://t.co/tV7VKg2HtT",Twitter for iPhone,6,questions transparency insulin4all,,Humalog,Diabetes,biosimilar meal time insulin with launch list price of vial versus humalog vial back to transparency is it really costing sanofi that much to make vial of insulin will it be coverered under my ins plan instead of humalog questions transparency insulin all,positive
Jediabetic1,@LillyDiabetes @driverRyanReed @TXMotorSpeedway Inexpensive Humalog is the only resource and treatment option I need. Kindly please extorting me and my fellow diabetics. Okay? Thanks.,Twitter for iPhone,0,,LillyDiabetes driverRyanReed TXMotorSpeedway,Humalog,Diabetes,inexpensive humalog is the only resource and treatment option need kindly please extorting me and my fellow diabetics okay thanks,positive
DiabetesMine,"This first ""copycat"" version of Humalog has been FDA approved for adults with type 2, and anyone 3 years or older with type 1 #diabetes. https://t.co/8S3e8rmiYH #dblog #doc -RK https://t.co/ZSfAId0dC6",TweetDeck,4,diabetes dblog doc,,Humalog,Diabetes,this first copycat version of humalog has been fda approved for adults with type and anyone years or older with type diabetes dblog doc rk,positive
crf_cristina,"RT @DiabetesMine: NEWS: Sanofi launched Ademlog on Thursday, four months after FDA OKd this Humalog copycat and roughly 15% lower list pric…",Twitter for Android,1,,DiabetesMine,Humalog,Diabetes,news sanofi launched ademlog on thursday four months after fda okd this humalog copycat and roughly lower list pric,negative
DiabetesMine,"NEWS: Sanofi launched Ademlog on Thursday, four months after FDA OKd this Humalog copycat and roughly 15% lower list price/WAC than Humalog. https://t.co/7QTn6RcBBb -MH https://t.co/YvukuG2AEd",Twitter Web Client,1,,,Humalog,Diabetes,news sanofi launched ademlog on thursday four months after fda okd this humalog copycat and roughly lower list price wac than humalog mh,negative
tisshe,"All I had was an omelette and a few hashbrowns. Took 6 units of Humalog, but my bg climbed from 9.8 to 19.6!! WHY???",Twitter Web Client,0,,,Humalog,Diabetes,all had was an omelette and few hashbrowns took units of humalog but my bg climbed from to why,negative
diabetesetnous,RT @DiabetesMine: NEWS: @Diabetes_Sanofi launches fast-acting Humalog copycat Admelog. It's $233/vial of Admelog compared to Humalog at $32…,Twitter for iPhone,3,,DiabetesMine Diabetes_Sanofi,Humalog,Diabetes,news launches fast acting humalog copycat admelog it vial of admelog compared to humalog at,neutral
JFKramarz,"RT @Kidfears99: The moment you’ve all waited for: Admelog, the biosimilar to Humalog insulin, will cost $233 per vial, a mere 15% savings o…",Twitter Web Client,17,,Kidfears99,Humalog,Diabetes,the moment you ve all waited for admelog the biosimilar to humalog insulin will cost per vial mere savings,negative
DiabetesMine,For record: @LillyDiabetes shares today on Humalog-&gt; WAC price for 3ml KwikPen = $106.08 &amp; WAC price for 10ml Humalog vial = $274.70. Even as cash price at pharmacies may be much higher. -MH,Twitter for Android,0,,LillyDiabetes,Humalog,Diabetes,for record shares today on humalog gt wac price for ml kwikpen amp wac price for ml humalog vial even as cash price at pharmacies may be much higher mh,positive
DiabeticBarista,"@Kidfears99 @LillyPad @sanofi @novonordiskus Mine wouldn't cover a dime of Tresiba, so even the savings card wouldn't work. They ""preferred"" Levemir instead. They wouldn't cover NovoLog, but would cover Humalog.",Twitter for Android,0,,Kidfears99 LillyPad sanofi novonordiskus,Humalog,Diabetes,mine wouldn cover dime of tresiba so even the savings card wouldn work they preferred levemir instead they wouldn cover novolog but would cover humalog,neutral
SaraTheeler77,"RT @Jediabetic1: Just ordered that 3-month supply of Humalog. Thanks again, @LillyDiabetes <f0><U+009F><U+0096><U+0095><f0><U+009F><U+00A4><U+00AC> https://t.co/qHDh5rhgxp",Twitter for Android,1,,Jediabetic1 LillyDiabetes,Humalog,Diabetes,just ordered that month supply of humalog thanks again ac,positive
hevald,@sixuntilme I just take it cold. Not humalog though. <f0><U+009F><U+0098><U+0089>,Twitter for Android,0,,sixuntilme,Humalog,Diabetes,just take it cold not humalog though,negative
gfadventureer,Warming up humalog under my arm as I’m not organised enough to have a vial out of the fridge and at room temperature when I need one. #reallife #gbdoc,Twitter for iPhone,0,reallife gbdoc,,Humalog,Diabetes,warming up humalog under my arm as not organised enough to have vial out of the fridge and at room temperature when need one reallife gbdoc,neutral
louiseekyle,"First follow-on biosimilar to Humalog boasts the “lowest list price of any mealtime insulin at $233 per 10 mL vial.�? 



Humalog’s list price is currently $277 in the USA. What an embarrassment @sanofi. https://t.co/ltxJgyZxbE",Twitter for iPhone,0,,sanofi,Humalog,Diabetes,first follow on biosimilar to humalog boasts the lowest list price of any mealtime insulin at per ml vial humalog list price is currently in the usa what an embarrassment,positive
sstrumello,"Looks like Humalog rolling off the assembly line with its unique, colored top https://t.co/0LWdEkZTXT",Twitter for Android,0,,,Humalog,Diabetes,looks like humalog rolling off the assembly line with its unique colored top,positive
crazyredranting,@Jandelliott @Kidfears99 My bet is the spread will increase when Humalog raises its prices another 10%,Twitter for Android,0,,Jandelliott Kidfears99,Humalog,Diabetes,my bet is the spread will increase when humalog raises its prices another,neutral
DiabetesMine,NEWS: @Diabetes_Sanofi launches fast-acting Humalog copycat Admelog. It's $233/vial of Admelog compared to Humalog at $325/vial; $450/box of five pens v. $643 of Humalog pens. /1,Twitter for iPhone,3,,Diabetes_Sanofi,Humalog,Diabetes,news launches fast acting humalog copycat admelog it vial of admelog compared to humalog at vial box of five pens of humalog pens,neutral
Kidfears99,"The moment you’ve all waited for: Admelog, the biosimilar to Humalog insulin, will cost $233 per vial, a mere 15% savings over the current Humalog price of $277 per vial. #Insulin4all https://t.co/YhRowfKLH2",Twitter for iPhone,17,Insulin4all,,Humalog,Diabetes,the moment you ve all waited for admelog the biosimilar to humalog insulin will cost per vial mere savings over the current humalog price of per vial insulin all,negative
CaptainBalou1,@Shnoune @applehat I am pumping. I switched to Humalog now. I'll see if there will be a difference then.,Twitter for Android,0,,Shnoune applehat,Humalog,Diabetes,am pumping switched to humalog now ll see if there will be difference then,neutral
nickaaronp,@lexxiiemarie He’s insane. Literally knows nothing. HE’S GOOGLING THE DIFFERENCE BETWEEN HUMALOG 75/25 and 50/50,Twitter for iPhone,0,,lexxiiemarie,Humalog,Diabetes,he insane literally knows nothing he googling the difference between humalog and,negative
tennesseebby,"@Anthony_Jared Yes that’s my 24 hour, metaphormin 2 times, and humalog before each meal",Twitter for iPhone,0,,Anthony_Jared,Humalog,Diabetes,yes that my hour metaphormin times and humalog before each meal,neutral
itwontdiabeatus,@M0nty13 @Diabetescouk @rachelbrophy84 @Mikaela_Boon Yes I’m on split doses of levemir. 1030pm and 1030am. I do find I need a tiny bit more in the evening but that’s because I’m having potent dawn phenomenon so it’s helping with that. Everyone is,Twitter for iPhone,0,,M0nty13 Diabetescouk rachelbrophy84 Mikaela_Boon,Levemir,Diabetes,nty yes on split doses of levemir pm and am do find need tiny bit more in the evening but that because having potent dawn phenomenon so it helping with that everyone is,positive
DiabetesMine,"@verylightnosuga @MTL613 Yep, I use Tresiba. Have found it lasts for me &amp; works best inside 32 hours. After that I start seeing BGs going up. And I don't have to split doses, as I've needed w Lantus/Levemir. -MH",Twitter for Android,0,,verylightnosuga MTL613,Levemir,Diabetes,yep use tresiba have found it lasts for me amp works best inside hours after that start seeing bgs going up and don have to split doses as ve needed lantus levemir mh,positive
AndreiFritz,"Record Store Chronicles Day 435: A woman returned a CD in the mail with a series of grumpy Levemir ® post-its describing her disappointment, signed with an address sticker",Twitter for iPhone,0,,,Levemir,Diabetes,record store chronicles day woman returned cd in the mail with series of grumpy levemir post its describing her disappointment signed with an address sticker,negative
RaxyGoesSqueak,"@redkitebait Most likely. When you split a basal, you can find an even split doesn't work well. Like, I'm on 10u at night and 6u in the morning of my levemir. 8/8 was creeping my bg up in the morning.

Just take care adjusting doses, always go up in small",Twitter for Android,0,,redkitebait,Levemir,Diabetes,most likely when you split basal you can find an even split doesn work well like on at night and in the morning of my levemir was creeping my bg up in the morning just take care adjusting doses always go up in small,positive
SickAnimalBot,This ewe needs Levemir!,"Cheap Bots, Done Quick!",0,,,Levemir,Diabetes,this ewe needs levemir,neutral
FamTimaTingz,"Not being at work and still thinking about things like Abasaglar, Tresiba, Toujeo, Lantus, Levemir, Victoza.. all these foreign names in a fridge. Sounds like Russian weapons tbh.",Twitter for iPhone,0,,,Levemir,Diabetes,not being at work and still thinking about things like abasaglar tresiba toujeo lantus levemir victoza all these foreign names in fridge sounds like russian weapons tbh,negative
TraceyB69889334,RT @MrsWiles: Poolside today with the teenage mutant ninja (T1) swimmer. Through trial &amp; error we seem to have got the right level of levem…,Twitter for iPhone,1,,MrsWiles,Levemir,Diabetes,poolside today with the teenage mutant ninja swimmer through trial amp error we seem to have got the right level of levem,positive
MrsWiles,Poolside today with the teenage mutant ninja (T1) swimmer. Through trial &amp; error we seem to have got the right level of levemir (background insulin he uses in comp whilst his pump is off). Nice numbers all day with a few novo rapid corrections. Need to sort the hypo after lunch.,Twitter Web Client,1,,,Levemir,Diabetes,poolside today with the teenage mutant ninja swimmer through trial amp error we seem to have got the right level of levemir background insulin he uses in comp whilst his pump is off nice numbers all day with few novo rapid corrections need to sort the hypo after lunch,positive
DonRog3,"And two hours later, I check my blood glucose again and it’s at 88. And this is even after I forgot to take my 20 units of Levemir last night at bed time. Maybe it’s time I get off these meds and just do the simpler method of eating right. <f0><U+009F><U+00A4><U+00B7><U+200D><U+2642><U+FE0F>",Twitter for iPhone,0,,,Levemir,Diabetes,and two hours later check my blood glucose again and it at and this is even after forgot to take my units of levemir last night at bed time maybe it time get off these meds and just do the simpler method of eating right fe,positive
hrldstyles_,"RT @mitchxharry: how iconic, everytime i do my levemir insulin injections (twice a day) i put medicine on to take my mind off it https://t.…",Twitter for iPhone,3,,mitchxharry,Levemir,Diabetes,how iconic everytime do my levemir insulin injections twice day put medicine on to take my mind off it,positive
jhulbertt,@DiabeticGirls Ahhh gotcha! I was gonna say I had this problem with levemir. I switched to tresiba and it’s really helped! But not sure how that would work with da pump :(,Twitter for iPhone,0,,DiabeticGirls,Levemir,Diabetes,ahhh gotcha was gonna say had this problem with levemir switched to tresiba and it really helped but not sure how that would work with da pump,negative
HantaMouse,Thank you Levemir for this entertaining evening: https://t.co/twJIVIfRhS,Twitter for iPhone,0,,,Levemir,Diabetes,thank you levemir for this entertaining evening,positive
Gene_Starwind,"@MurtadMilli I'm on Levemir. About $400/mo, not counting the needles and swabs....",TweetDeck,0,,MurtadMilli,Levemir,Diabetes,on levemir about mo not counting the needles and swabs,neutral
SickAnimalBot,This jaguar needs Levemir!,"Cheap Bots, Done Quick!",0,,,Levemir,Diabetes,this jaguar needs levemir,neutral
iamdanjapan,@ghosttlove It really is. You perhaps might have had ketones as well due to the lack of insulin through the night and between your bolus injections. I think lantus is pretty good. I've been on it quite a few years now,Twitter for Android,0,,ghosttlove,Lantus,Diabetes,it really is you perhaps might have had ketones as well due to the lack of insulin through the night and between your bolus injections think lantus is pretty good ve been on it quite few years now,positive
iamdanjapan,@ghosttlove I feel ya. I feel absolutely dreadful if I don't have my lantus. Hope you're feeling better soon!,Twitter for Android,0,,ghosttlove,Lantus,Diabetes,feel ya feel absolutely dreadful if don have my lantus hope you re feeling better soon,negative
ghosttlove,"I haven't been able to take my lantus insulin dose for the past 4 days and today the consequences rly hit me and I've been bedridden, throwing up water, and have an awful headache. Bless my pal for picking it up at CVS this morning. Still sick tho",Twitter for iPhone,0,,,Lantus,Diabetes,haven been able to take my lantus insulin dose for the past days and today the consequences rly hit me and ve been bedridden throwing up water and have an awful headache bless my pal for picking it up at cvs this morning still sick tho,negative
mdb2,RT @shelton21660: @RepublicanRehab @Jandelliott @PhRMA I paid $300 for Lantus at Walgreens two days ago.. And that was my CO-PAY for my ins…,Twitter for iPhone,3,,shelton21660 RepublicanRehab Jandelliott PhRMA,Lantus,Diabetes,paid for lantus at walgreens two days ago and that was my co pay for my ins,neutral
redkitebait,Only trouble with lantus twice daily is that i slept in so my lantus is 2hrs late havahaha,Twitter for Android,0,,,Lantus,Diabetes,only trouble with lantus twice daily is that slept in so my lantus is hrs late havahaha,negative
bibzey,@alexis64murphy @houseonhillcats @Falkorkat @deborah26449389 Not yet. He was diagnosed in Jan. On Caninsulin for month then Lantus. Numbers were just getting back into normal range when he got an infection (similar symptoms to FHV) &amp; was hospitalised.,Twitter for Android,0,,alexis64murphy houseonhillcats Falkorkat deborah26449389,Lantus,Diabetes,murphy not yet he was diagnosed in jan on caninsulin for month then lantus numbers were just getting back into normal range when he got an infection similar symptoms to fhv amp was hospitalised,positive
bibzey,@alexis64murphy @houseonhillcats @Falkorkat @deborah26449389 The problem Bob had was it didn't have a long enough duration... it was only working for the first 6 of the 12 hours. The Prozinc he's now on has been developed for cats faster metabolisms (that,Twitter for Android,0,,alexis64murphy houseonhillcats Falkorkat deborah26449389,Lantus,Diabetes,murphy the problem bob had was it didn have long enough duration it was only working for the first of the hours the prozinc he now on has been developed for cats faster metabolisms that,positive
bibzey,"@alexis64murphy @houseonhillcats @Falkorkat @deborah26449389 One thing I can tell you regarding French vets is that they insist the only food diabetic cats should be given is dry, diabetic biscuits. They also don't like Lantus. Bob's had two vets, both di",Twitter for Android,0,,alexis64murphy houseonhillcats Falkorkat deborah26449389,Lantus,Diabetes,murphy one thing can tell you regarding french vets is that they insist the only food diabetic cats should be given is dry diabetic biscuits they also don like lantus bob had two vets both di,negative
bibzey,"@Falkorkat Yay, zat's cool! I started on Caninsulin but it woz rubbish. Zen Lantus, but my new vet doesn't like it, so she gave me Prozinc last week. But she also told my oomans to feed me special kibbles only but zey make my bloods too 'igh, so zey just",Twitter for Android,0,,Falkorkat,Lantus,Diabetes,yay zat cool started on caninsulin but it woz rubbish zen lantus but my new vet doesn like it so she gave me prozinc last week but she also told my oomans to feed me special kibbles only but zey make my bloods too igh so zey just,positive
lantus_castor,@FormEC26NE hellooo! https://t.co/cwlEGDwLuh,Twitter Web Client,0,,FormEC26NE,Lantus,Diabetes,ne hellooo,neutral
Rc_Tomato,"@verylightnosuga I like Tresiba a lot, never had a problem stacking or anything like that. Keeps my mornings wayyy more level than Lantus",Twitter for iPad,0,,verylightnosuga,Lantus,Diabetes,like tresiba lot never had problem stacking or anything like that keeps my mornings wayyy more level than lantus,positive
Science_Alerts,RT @EurekaMag: Which Patients Will Benefit from a Switch in Therapy from Premixed Insulin to Insulin Glargine plus Oral Antidiabetic Drugs?…,dlvr.it,2,,EurekaMag,Lantus,Diabetes,which patients will benefit from switch in therapy from premixed insulin to insulin glargine plus oral antidiabetic drugs,neutral
EurekaMag,Which Patients Will Benefit from a Switch in Therapy from Premixed Insulin to Insulin Glargine plus Oral Antidiabetic Drugs? Further Analysis of the Lantus Registry Study https://t.co/zNPZqqIlkz https://t.co/BpJQ0lXqSB,dlvr.it,2,,,Lantus,Diabetes,which patients will benefit from switch in therapy from premixed insulin to insulin glargine plus oral antidiabetic drugs further analysis of the lantus registry study,neutral
Tony_PharmD,"How to pronounce insulin glargine (#Lantus, #Toujeo) (Memorizing #Pharmacology Flashcard)



#Insulin glargine is a prescription long-acting insulin for diabetes. 



https://t.co/MjGnz6x263 via @YouTube",The Social Jukebox,0,Lantus Toujeo Pharmacology Insulin,YouTube,Lantus,Diabetes,how to pronounce insulin glargine lantus toujeo memorizing pharmacology flashcard insulin glargine is prescription long acting insulin for diabetes via,neutral
dvcjduquette,"@mayapajevic Hey Buddy, I just started Lantus solostar insulin and my A1C dropped from 10 to 6. I don’t know what you are taking but take 16mm at night with my regular meds.",Twitter for iPad,0,,mayapajevic,Lantus,Diabetes,hey buddy just started lantus solostar insulin and my dropped from to don know what you are taking but take mm at night with my regular meds,neutral
Kikis_Human,"@annermartin769 Lilo gets Lantus (glargine). Lilo's a big Gal too, may about 16 pounds",Twitter Web Client,0,,annermartin769,Lantus,Diabetes,lilo gets lantus glargine lilo big gal too may about pounds,neutral
HGMurgatroyd,Had a steroid injection in my hip and now my blood sugar is 22 with lantus insulin <f0><U+009F><U+0098><U+00A9> guess I’m phoning the diabetes clinic tomorrow,Twitter for iPhone,0,,,Lantus,Diabetes,had steroid injection in my hip and now my blood sugar is with lantus insulin guess phoning the diabetes clinic tomorrow,neutral
JaseWhiteHorse,@Claireac78 @Diabetescouk @paleowithmrsp I'm type 1 since I was put into coma I find it very hard to deal with I'm on a lantus pen :(,Twitter for Android,0,,Claireac78 Diabetescouk paleowithmrsp,Lantus,Diabetes,type since was put into coma find it very hard to deal with on lantus pen,negative
MLujan520,"@JoshuaKollack Yes, he’s on Lantus.",Tweetbot for i<U+039F>S,0,,JoshuaKollack,Lantus,Diabetes,yes he on lantus,neutral
DiabeticDadUK,BG is 9 after lunch. I've yet to bolus. Only the usual Lantus on board. That's because Pain Club is open for the afternoon. https://t.co/MmELuBZirg,Twitter for Android,0,,,Lantus,Diabetes,bg is after lunch ve yet to bolus only the usual lantus on board that because pain club is open for the afternoon,negative
redkitebait,"@RaxyGoesSqueak Yeah, dafne says you should wait 3 days before making any further changes

But reduce lantus immediately if you have a night time hypo that has no other cause (alchohol, corrections, etc)",Twitter for Android,0,,RaxyGoesSqueak,Lantus,Diabetes,yeah dafne says you should wait days before making any further changes but reduce lantus immediately if you have night time hypo that has no other cause alchohol corrections etc,positive
redkitebait,@RaxyGoesSqueak I also split my lantus recently as an experiment maybe i need to up it more overnight...,Twitter for Android,0,,RaxyGoesSqueak,Lantus,Diabetes,also split my lantus recently as an experiment maybe need to up it more overnight,positive
MMichael6837,Another commercial following about staying together LANTUS COMMERCIAL DIRECT COLLUSION,Twitter Web Client,0,,,Lantus,Diabetes,another commercial following about staying together lantus commercial direct collusion,positive
